"pointid","xcoord","ycoord"
392,1705125.2888,2277325.2685
393,1704720.5002,2273906.495
394,1703501.9984,2270463.1985
395,1716006.0909,2263708.6402
396,1716722.6973,2264191.2257
397,1713426.3889,2265147.3985
398,1713286.7712,2264950.9774
399,1712101.4882,2264206.3204
400,1711549.584,2263749.9553
401,1710597.8741,2262931.4976
402,1708880.5161,2262833.9413
403,1706750.2128,2266494.9518
404,1708431.583,2263617.7168
405,1705836.9948,2267077.9194
406,1704727.0442,2268807.815
407,1720970.2117,2250474.5302
408,1722794.4889,2250207.371
409,1719379.442,2251454.89
410,1717369.1356,2250575.9222
411,1716591.6162,2251929.2712
412,1714432.01,2254542.8783
413,1714612.1379,2254407.3287
414,1714758.1054,2254193.312
415,1715558.1012,2252785.6036
416,1714426.9869,2254565.3632
417,1714337.7543,2255416.4373
418,1702559.8735,2333775.9409
419,1705806.3513,2330770.8059
420,1720240.663,2264047.7108
421,1721300.9098,2263025.1411
422,1721224.2219,2262766.7025
423,1721912.9157,2260548.9539
424,1722096.8083,2260361.7601
425,1722823.9596,2260542.5341
426,1724737.1886,2247232.7718
427,1725200.7887,2247574.9686
428,1722458.103,2246968.2201
429,1721586.2861,2247447.9341
430,1724000.8021,2246029.0748
431,1718703.5034,2252017.6288
432,1718275.6699,2252614.7541
433,1717175.9651,2252726.07
434,1717178.2305,2252970.5722
435,1716922.0477,2253493.1805
436,1716721.8122,2253857.7514
437,1714128.1318,2254422.5722
438,1713772.3782,2254534.6497
439,1715421.624,2249288.4827
440,1714425.9508,2249790.3027
441,1714151.3021,2250140.8909
442,1711910.6505,2251902.1037
443,1711472.9614,2251455.4161
444,1710710.4369,2253643.6902
445,1713388.279,2249797.3577
446,1712737.1527,2249728.0459
447,1714078.4555,2247944.3854
448,1716435.1109,2248255.3955
449,1716568.8856,2247424.6992
450,1720917.4404,2250328.9461
451,1719761.6282,2248538.8062
452,1718938.4275,2249171.0289
453,1721123.7587,2248756.2391
454,1721924.1166,2251791.9204
455,1723027.6478,2250679.1732
456,1717039.6133,2255038.4178
457,1718484.3938,2255418.6001
458,1718500.7772,2255420.3883
459,1716754.6147,2256373.0774
460,1717343.1499,2256433.6089
461,1715710.5659,2255135.2416
462,1715623.3328,2254981.9815
463,1715563.5958,2256511.2296
464,1716043.6507,2258111.0909
465,1717238.284,2257100.1671
466,1714689.2509,2257777.2619
467,1714075.1881,2259972.3344
468,1716058.8033,2259281.8528
469,1716428.2862,2259826.0284
470,1713085.4733,2257183.1106
471,1714485.4583,2260982.0723
472,1718159.4537,2258344.6173
473,1716458.9373,2262154.4652
474,1717843.5322,2263024.8567
475,1712686.4801,2267130.5658
476,1711290.0788,2265861.3791
477,1710451.8544,2267185.1424
478,1711215.0345,2266266.9458
479,1710137.9135,2267699.9954
480,1710050.835,2267835.3151
481,1710861.4682,2265443.0361
482,1710748.2695,2265082.0023
483,1710165.759,2265468.6987
484,1709940.6796,2265481.3873
485,1709566.6347,2265374.2726
486,1710178.2882,2263178.8175
487,1709040.9469,2266316.631
488,1710095.8104,2264647.768
489,1707766.413,2263217.3441
490,1708616.5567,2262916.651
491,1707150.0338,2263061.3053
492,1706122.5269,2263288.2664
493,1704145.4738,2265244.2496
494,1705937.4978,2265759.9472
495,1705659.1173,2265687.2813
496,1714466.0118,2262504.4642
497,1713662.0417,2261776.733
498,1713470.3206,2261072.8603
499,1712755.7346,2258995.6851
500,1711236.3722,2259157.51
501,1710535.4925,2258859.3527
502,1710082.5908,2258306.9971
503,1709346.1544,2257612.6232
504,1708863.2194,2256917.1212
505,1707098.1857,2256987.2443
506,1713288.0232,2262456.6001
507,1711659.8648,2262769.8945
508,1712707.95,2260679.6804
509,1709984.9497,2261556.4672
510,1711702.0374,2261249.946
511,1711535.5115,2261336.07
512,1709493.359,2261281.4136
513,1707766.2404,2261690.5679
514,1707637.9906,2261593.7203
515,1706816.8229,2261255.5459
516,1706477.6344,2261258.4888
517,1705509.1117,2262818.1009
518,1705932.0856,2259570.5127
519,1708262.1181,2258926.1697
520,1708318.2408,2258663.2523
521,1707335.8216,2257751.259
522,1710924.7432,2255530.5998
523,1713399.2951,2269146.8156
524,1712010.2398,2269812.4914
525,1711688.0602,2270202.2278
526,1710751.6062,2270507.2606
527,1712284.0323,2271074.9488
528,1715519.4406,2268644.2712
529,1715497.6386,2271451.2691
530,1712931.0812,2271846.2744
531,1707909.0285,2274812.627
532,1707646.9613,2275095.0739
533,1706259.6522,2273182.7077
534,1705995.6004,2273346.6839
535,1707895.2562,2271772.2066
536,1707582.6347,2272095.8585
537,1709157.1633,2276295.1621
538,1710548.4059,2274914.0453
539,1709619.6763,2278090.1326
540,1710133.7801,2279191.0471
541,1710145.819,2279189.5195
542,1707803.934,2276811.3602
543,1706698.7644,2275984.935
544,1708484.4632,2278382.227
545,1706725.594,2278191.4554
546,1705392.6399,2281035.8144
547,1703560.3971,2280432.5609
548,1704642.0259,2278332.0184
549,1702128.5936,2278140.4697
550,1701116.5386,2278829.7497
551,1703140.731,2279418.2619
552,1702976.0767,2279507.3759
553,1701125.483,2277331.5217
554,1703869.4175,2276132.0629
555,1703857.8318,2275489.503
556,1703597.1038,2275245.0567
557,1702326.3002,2275553.9637
558,1702608.3455,2275147.4741
559,1702793.9613,2275149.5964
560,1701874.724,2275712.7609
